2025-10-09 23:30:15.545 ERROR (MainThread) [homeassistant.components.select] Platform tuya does not generate unique IDs. ID tuya.bf8d42b594d7da1ea44dvxbasic_nightvision already exists - ignoring select.sonnette_exterieur_vision_de_nuit
2025-10-09 23:30:15.550 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bfd6ab91392dd1c693l6i9va_temperature already exists - ignoring sensor.capteur_bureau_temperature
2025-10-09 23:30:15.550 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bfd6ab91392dd1c693l6i9va_humidity already exists - ignoring sensor.capteur_bureau_humidite
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bfd6ab91392dd1c693l6i9battery_state already exists - ignoring sensor.capteur_bureau_etat_batterie
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bff1e6837be21dc896nky0va_temperature already exists - ignoring sensor.capteur_salon_temperature
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bff1e6837be21dc896nky0va_humidity already exists - ignoring sensor.capteur_salon_humidite
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bff1e6837be21dc896nky0battery_state already exists - ignoring sensor.capteur_salon_etat_batterie
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf52a36e0410dac7d5srb2va_temperature already exists - ignoring sensor.capteur_etage_temperature
2025-10-09 23:30:15.551 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf52a36e0410dac7d5srb2va_humidity already exists - ignoring sensor.capteur_etage_humidite
2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf52a36e0410dac7d5srb2battery_state already exists - ignoring sensor.capteur_etage_etat_batterie
2025-10-09 23:30:15.552 ERROR (MainThread) [homeassistant.components.sensor] Platform tuya does not generate unique IDs. ID tuya.bf9e036773e39c0f66vdglbattery_percentage already exists - ignoring sensor.interrupteur_terrasse_batterie
